Airspace,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
a8ea43de-f7c2-4498-9057-6507bdb611d5,Baseline,0,0,0,0,0,0,0
a8ea43de-f7c2-4498-9057-6507bdb611d5,Current,0,0,0,0,0,0,0
a8ea43de-f7c2-4498-9057-6507bdb611d5,Delta,0,0,0,0,0,0,0
b8eb5910-2cc6-4384-b384-70d169ec6cbe,Baseline,0,0,0,0,0,0,0
b8eb5910-2cc6-4384-b384-70d169ec6cbe,Current,0,0,0,0,0,0,0
b8eb5910-2cc6-4384-b384-70d169ec6cbe,Delta,0,0,0,0,0,0,0
24058d89-ca72-4ae6-9652-98b895b4baef,Baseline,0,0,0,0,0,0,0
24058d89-ca72-4ae6-9652-98b895b4baef,Current,0,0,0,0,0,0,0
24058d89-ca72-4ae6-9652-98b895b4baef,Delta,0,0,0,0,0,0,0
26e5f92a-9f07-488b-a6c2-bdf11f9de098,Baseline,0,0,0,0,0,0,0
26e5f92a-9f07-488b-a6c2-bdf11f9de098,Current,0,0,0,0,0,0,0
26e5f92a-9f07-488b-a6c2-bdf11f9de098,Delta,0,0,0,0,0,0,0
44a567df-f46d-44ff-9b50-787d560231dc,Baseline,0,0,0,0,0,0,0
44a567df-f46d-44ff-9b50-787d560231dc,Current,0,0,0,0,0,0,0
44a567df-f46d-44ff-9b50-787d560231dc,Delta,0,0,0,0,0,0,0
958d6647-9d66-44e0-b456-b89bfa16a3e5,Baseline,0,0,0,0,0,0,0
958d6647-9d66-44e0-b456-b89bfa16a3e5,Current,0,0,0,0,0,0,0
958d6647-9d66-44e0-b456-b89bfa16a3e5,Delta,0,0,0,0,0,0,0
1e5f3c70-7408-4427-adbd-c45f73ddfd7b,Baseline,0,0,0,0,0,0,0
1e5f3c70-7408-4427-adbd-c45f73ddfd7b,Current,0,0,0,0,0,0,0
1e5f3c70-7408-4427-adbd-c45f73ddfd7b,Delta,0,0,0,0,0,0,0
b1704284-f7c8-43ae-a00c-4107f6be3d2f,Baseline,0,0,0,0,0,0,0
b1704284-f7c8-43ae-a00c-4107f6be3d2f,Current,0,0,0,0,0,0,0
b1704284-f7c8-43ae-a00c-4107f6be3d2f,Delta,0,0,0,0,0,0,0
e71754e9-8617-4989-80ff-f662f35bdb15,Baseline,0,0,0,0,0,0,0
e71754e9-8617-4989-80ff-f662f35bdb15,Current,0,0,0,0,0,0,0
e71754e9-8617-4989-80ff-f662f35bdb15,Delta,0,0,0,0,0,0,0
c1233304-e629-4350-b806-25e60b27cf63,Baseline,0,0,0,0,0,0,0
c1233304-e629-4350-b806-25e60b27cf63,Current,0,0,0,0,0,0,0
c1233304-e629-4350-b806-25e60b27cf63,Delta,0,0,0,0,0,0,0
78ff811e-bc25-42a3-b271-c6e2be24b869,Baseline,0,0,0,0,0,0,0
78ff811e-bc25-42a3-b271-c6e2be24b869,Current,0,0,0,0,0,0,0
78ff811e-bc25-42a3-b271-c6e2be24b869,Delta,0,0,0,0,0,0,0
0fdd23b3-f038-46ac-a012-f4d1d95ce839,Baseline,0,0,0,0,0,0,0
0fdd23b3-f038-46ac-a012-f4d1d95ce839,Current,0,0,0,0,0,0,0
0fdd23b3-f038-46ac-a012-f4d1d95ce839,Delta,0,0,0,0,0,0,0
097fb840-b924-44ef-898d-1a8cf7b327a5,Baseline,0,0,0,0,0,0,0
097fb840-b924-44ef-898d-1a8cf7b327a5,Current,0,0,0,0,0,0,0
097fb840-b924-44ef-898d-1a8cf7b327a5,Delta,0,0,0,0,0,0,0
e67236cb-d745-4c11-a51a-190d272dbe75,Baseline,0,0,0,0,0,0,0
e67236cb-d745-4c11-a51a-190d272dbe75,Current,0,0,0,0,0,0,0
e67236cb-d745-4c11-a51a-190d272dbe75,Delta,0,0,0,0,0,0,0
c34e7185-ff9b-48c6-ae79-5a75347d6c88,Baseline,0,0,0,0,0,0,0
c34e7185-ff9b-48c6-ae79-5a75347d6c88,Current,0,0,0,0,0,0,0
c34e7185-ff9b-48c6-ae79-5a75347d6c88,Delta,0,0,0,0,0,0,0
f75e638b-5a7d-4e58-927d-40e83f035fb6,Baseline,0,0,0,0,0,0,0
f75e638b-5a7d-4e58-927d-40e83f035fb6,Current,0,0,0,0,0,0,0
f75e638b-5a7d-4e58-927d-40e83f035fb6,Delta,0,0,0,0,0,0,0
eee4bab0-8051-4a7a-a6e6-8a3711a91f8e,Baseline,0,0,0,0,0,0,0
eee4bab0-8051-4a7a-a6e6-8a3711a91f8e,Current,0,0,0,0,0,0,0
eee4bab0-8051-4a7a-a6e6-8a3711a91f8e,Delta,0,0,0,0,0,0,0
75df682d-6b62-4c81-8987-5b43a3f14591,Baseline,0,0,0,0,0,0,0
75df682d-6b62-4c81-8987-5b43a3f14591,Current,0,0,0,0,0,0,0
75df682d-6b62-4c81-8987-5b43a3f14591,Delta,0,0,0,0,0,0,0
ebe4f950-a597-42b9-ba7c-438acb14f494,Baseline,0,0,0,0,0,0,0
ebe4f950-a597-42b9-ba7c-438acb14f494,Current,0,0,0,0,0,0,0
ebe4f950-a597-42b9-ba7c-438acb14f494,Delta,0,0,0,0,0,0,0
9b5c4bde-05a0-4711-ba7b-366855a04f58,Baseline,0,0,0,0,0,0,0
9b5c4bde-05a0-4711-ba7b-366855a04f58,Current,0,0,0,0,0,0,0
